Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7378,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8901,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8614,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.3959,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.3646,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9267,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.4094,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.5431,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.389,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.6363,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9031,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.2069,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.525,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.9421,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.3503,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.8789,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.5971,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.2196,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7422,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.8507,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.034,0.0,0.0,0.0,0.0,0.0,0.0
-2,1,96.3095,0.00782603,0.00373362,0.012,0.012,-0.004173970000000001,-0.00826638
-4,4,97.4386,0.0157268,0.0151438,0.024,0.024,-0.008273200000000001,-0.0088562
-6,7,99.176,0.0236276,0.0265539,0.036,0.036,-0.012372399999999999,-0.009446099999999999
-10,10,96.0413,0.039317,0.0378595,0.048,0.048,-0.008683000000000003,-0.010140500000000004
-13,14,99.207,0.0511495,0.0530556,0.06,0.06,-0.008850499999999997,-0.006944399999999996
-17,18,98.9593,0.0668763,0.0681994,0.072,0.072,-0.005123699999999995,-0.003800600000000001
-21,22,95.3564,0.0826031,0.0833431,0.084,0.084,-0.0013969000000000065,-0.0006569000000000019
-25,26,95.7809,0.09833,0.0984869,0.096,0.096,0.0023299999999999987,0.0024869000000000002
-28,29,96.2001,0.110125,0.109845,0.108,0.108,0.002125000000000002,0.0018449999999999994
-32,34,97.8003,0.125889,0.128827,0.12,0.12,0.005889000000000005,0.008827000000000002
-36,37,95.4292,0.141579,0.140132,0.132,0.132,0.009579000000000004,0.008132
-40,42,96.5385,0.157343,0.159114,0.144,0.144,0.013343000000000022,0.015114000000000016
-44,46,94.3757,0.17307,0.174258,0.156,0.156,0.017070000000000002,0.018257999999999996
-48,50,94.5279,0.188797,0.189402,0.168,0.168,0.020796999999999982,0.021401999999999977
-52,54,94.4483,0.204523,0.204546,0.18,0.18,0.024523000000000017,0.024546000000000012
-55,57,94.9104,0.216318,0.215904,0.192,0.192,0.024318000000000006,0.02390400000000001
-59,61,92.3779,0.232045,0.231047,0.204,0.204,0.028045000000000014,0.027047000000000015
-63,66,93.7539,0.247809,0.250029,0.216,0.216,0.031809000000000004,0.034029000000000004
-67,69,91.9321,0.263499,0.261335,0.228,0.228,0.035498999999999975,0.033334999999999976
-71,74,92.5294,0.279263,0.280317,0.24,0.24,0.03926299999999999,0.04031699999999999
-74,77,91.8737,0.291058,0.291675,0.252,0.252,0.03905799999999998,0.039675000000000016
-77,80,92.1594,0.302853,0.303033,0.264,0.264,0.03885299999999997,0.039032999999999984
-79,83,90.007,0.310754,0.314443,0.276,0.276,0.03475399999999995,0.03844299999999995
-81,84,91.1681,0.31858,0.318176,0.288,0.288,0.030579999999999996,0.030176000000000036
-82,85,90.3331,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,89.783,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,90.9325,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.7817,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,90.5322,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.3002,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.2818,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.4445,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.8089,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,84,89.679,0.322474,0.318124,0.3,0.3,0.022473999999999994,0.01812400000000003
-82,85,91.5975,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.4423,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,90.0052,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.3397,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.1409,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.4322,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.5263,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.3037,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.3717,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,91.4852,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
-82,85,90.6514,0.322512,0.321962,0.3,0.3,0.022512000000000032,0.021962000000000037
