Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.6739,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.817,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9065,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.2457,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7568,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.5384,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8513,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8264,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.8343,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.9649,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.8759,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8997,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8527,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.7415,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7789,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.2823,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9131,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8098,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7113,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.13,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,96.761,-3.73736e-05,-0.00383827,0.0,0.0,-3.73736e-05,-0.00383827
0,0,96.0864,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.8183,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,94.7511,0.00389433,-5.2323e-05,0.0,0.0,0.00389433,-5.2323e-05
-2,2,98.7684,0.00786341,0.00757189,0.012,0.012,-0.004136590000000001,-0.00442811
-4,4,98.1474,0.0157268,0.0151438,0.024,0.024,-0.008273200000000001,-0.0088562
-6,6,95.6584,0.0235902,0.0227157,0.036,0.036,-0.012409799999999999,-0.013284299999999999
-10,10,96.4326,0.039317,0.0378595,0.048,0.048,-0.008683000000000003,-0.010140500000000004
-13,14,97.3863,0.0511495,0.0530556,0.06,0.06,-0.008850499999999997,-0.006944399999999996
-16,17,95.5111,0.0629446,0.0644134,0.072,0.072,-0.009055399999999991,-0.007586599999999999
-20,21,95.2716,0.0786714,0.0795572,0.084,0.084,-0.005328600000000003,-0.004442800000000011
-23,24,96.4112,0.0904666,0.090915,0.096,0.096,-0.005533400000000008,-0.005085000000000006
-27,28,97.5973,0.106193,0.106059,0.108,0.108,-0.001807000000000003,-0.0019409999999999983
-31,32,97.5628,0.12192,0.121203,0.12,0.12,0.001920000000000005,0.0012030000000000096
-34,35,97.2741,0.133715,0.13256,0.132,0.132,0.0017149999999999943,0.0005600000000000049
-38,39,96.8072,0.149442,0.147704,0.144,0.144,0.005442000000000002,0.003704000000000013
-41,43,94.5242,0.161275,0.1629,0.156,0.156,0.005275000000000002,0.0068999999999999895
-45,46,94.7013,0.176964,0.174206,0.168,0.168,0.008964,0.006205999999999989
-48,50,93.3659,0.188797,0.189402,0.18,0.18,0.008797,0.009401999999999994
-52,54,97.6692,0.204523,0.204546,0.192,0.192,0.012523000000000006,0.012546000000000002
-56,58,95.9558,0.22025,0.21969,0.204,0.204,0.016250000000000014,0.01569000000000001
-59,61,95.3015,0.232045,0.231047,0.216,0.216,0.016045000000000004,0.015047000000000005
-63,65,97.6642,0.247772,0.246191,0.228,0.228,0.019771999999999984,0.018190999999999985
-67,69,93.9087,0.263499,0.261335,0.24,0.24,0.023498999999999992,0.021334999999999993
-70,72,93.8079,0.275294,0.272693,0.252,0.252,0.02329399999999998,0.020693000000000017
-72,74,92.6976,0.283157,0.280265,0.264,0.264,0.01915699999999998,0.016264999999999974
-73,76,96.6258,0.287126,0.287889,0.276,0.276,0.01112599999999997,0.011888999999999983
-74,76,93.0394,0.291021,0.287837,0.288,0.288,0.003020999999999996,-0.00016299999999996873
-75,77,93.2112,0.294953,0.291623,0.3,0.3,-0.005046999999999968,-0.008376999999999968
-75,77,96.8324,0.294953,0.291623,0.3,0.3,-0.005046999999999968,-0.008376999999999968
-75,77,96.4186,0.294953,0.291623,0.3,0.3,-0.005046999999999968,-0.008376999999999968
-75,77,93.4145,0.294953,0.291623,0.3,0.3,-0.005046999999999968,-0.008376999999999968
