Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7363,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7337,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.5774,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8543,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8728,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.3425,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8698,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.88,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.484,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9636,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9166,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9234,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8958,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9073,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9274,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8641,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8753,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9836,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9325,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8625,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8251,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,99.8373,-3.73736e-05,-0.00383827,0.0,0.0,-3.73736e-05,-0.00383827
0,0,99.3461,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7649,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,99.7084,-3.73736e-05,-0.00383827,0.0,0.0,-3.73736e-05,-0.00383827
-2,2,99.5548,0.00786341,0.00757189,0.012,0.012,-0.004136590000000001,-0.00442811
-4,4,99.0356,0.0157268,0.0151438,0.024,0.024,-0.008273200000000001,-0.0088562
-8,8,98.8942,0.0314536,0.0302876,0.036,0.036,-0.004546399999999999,-0.005712399999999996
-12,13,97.9956,0.0472178,0.0492696,0.048,0.048,-0.0007822000000000037,0.0012695999999999957
-17,18,96.5816,0.0668763,0.0681994,0.06,0.06,0.006876300000000002,0.008199399999999996
-22,24,95.1779,0.0865722,0.0909674,0.072,0.072,0.014572200000000007,0.01896740000000001
-28,30,93.3991,0.110162,0.113683,0.084,0.084,0.02616199999999999,0.029683
-33,34,91.6747,0.129784,0.128775,0.096,0.096,0.03378400000000001,0.032775
-38,40,90.0711,0.149479,0.151543,0.108,0.108,0.041479,0.04354300000000001
-43,45,88.4047,0.169138,0.170472,0.12,0.12,0.049138000000000015,0.05047200000000002
-48,50,86.7377,0.188797,0.189402,0.132,0.132,0.056796999999999986,0.05740199999999998
-54,57,84.7738,0.212424,0.215956,0.144,0.144,0.06842400000000001,0.07195600000000002
-59,61,83.4715,0.232045,0.231047,0.156,0.156,0.076045,0.075047
-64,67,81.8235,0.251741,0.253815,0.168,0.168,0.08374099999999998,0.085815
-69,72,80.0897,0.2714,0.272745,0.18,0.18,0.09139999999999998,0.09274500000000002
-74,77,78.5693,0.291058,0.291675,0.192,0.192,0.09905799999999998,0.09967500000000001
-79,83,77.0059,0.310754,0.314443,0.204,0.204,0.10675399999999999,0.11044299999999999
-84,87,75.6951,0.330375,0.329534,0.216,0.216,0.11437499999999998,0.113534
58,-96,74.7767,-0.229459,-0.365439,0.228,0.228,-0.457459,-0.593439
53,-90,74.5264,-0.209763,-0.342671,0.24,0.24,-0.449763,-0.5826709999999999
38,-62,74.4836,-0.150302,-0.235984,0.252,0.252,-0.402302,-0.487984
34,-57,74.4346,-0.134538,-0.217002,0.264,0.264,-0.398538,-0.48100200000000004
31,-54,74.4225,-0.122742,-0.205645,0.276,0.276,-0.39874200000000004,-0.481645
29,-53,74.4163,-0.114916,-0.201911,0.288,0.288,-0.402916,-0.489911
14,-24,74.4843,-0.0554176,-0.0913859,0.3,0.3,-0.3554176,-0.3913859
14,-25,74.4972,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4771,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
13,-24,74.4937,-0.0515233,-0.0914383,0.3,0.3,-0.3515233,-0.3914383
14,-25,74.5236,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.5037,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.5073,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.5069,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.51,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.476,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4903,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4869,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.5047,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.492,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4615,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4962,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4878,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.5085,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4751,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4638,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4929,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-25,74.4929,-0.055455,-0.0952242,0.3,0.3,-0.35545499999999997,-0.39522419999999997
14,-24,74.4568,-0.0554176,-0.0913859,0.3,0.3,-0.3554176,-0.3913859
