Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9627,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.6407,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.864,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.881,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.6409,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.954,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.7814,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.903,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8361,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.1567,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8295,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.5224,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9638,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.5562,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.2272,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.5135,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.887,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,99.5423,-3.73736e-05,-0.00383827,0.0,0.0,-3.73736e-05,-0.00383827
0,0,98.3785,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.474,0.0,0.0,0.0,0.0,0.0,0.0
-1,0,99.7359,0.00389433,-5.2323e-05,0.012,0.012,-0.00810567,-0.012052323
-3,3,99.4185,0.0117951,0.0113578,0.024,0.024,-0.012204900000000001,-0.012642200000000001
-5,6,98.9153,0.0196959,0.022768,0.036,0.036,-0.0163041,-0.013231999999999997
-9,9,98.4107,0.0353853,0.0340735,0.048,0.048,-0.0126147,-0.013926500000000001
-12,13,97.861,0.0472178,0.0492696,0.06,0.06,-0.0127822,-0.010730400000000001
-17,18,98.0363,0.0668763,0.0681994,0.072,0.072,-0.005123699999999995,-0.003800600000000001
-21,23,96.4199,0.0826405,0.0871814,0.084,0.084,-0.0013594999999999996,0.003181400000000001
-26,27,96.0779,0.102262,0.102273,0.096,0.096,0.006262000000000004,0.006273000000000001
-30,31,96.1783,0.117988,0.117417,0.108,0.108,0.009987999999999997,0.009416999999999995
-34,36,94.9955,0.133753,0.136399,0.12,0.12,0.013753000000000015,0.016398999999999997
-38,40,93.8904,0.149479,0.151543,0.132,0.132,0.017478999999999995,0.019543000000000005
-43,45,93.3597,0.169138,0.170472,0.144,0.144,0.02513800000000002,0.026472000000000023
-47,50,91.5806,0.184902,0.189454,0.156,0.156,0.02890200000000001,0.03345400000000001
-52,54,91.3191,0.204523,0.204546,0.168,0.168,0.036523,0.036545999999999995
-57,59,89.9633,0.224182,0.223475,0.18,0.18,0.044182,0.043475000000000014
-61,64,89.0555,0.239946,0.242458,0.192,0.192,0.04794599999999999,0.050458
-65,68,88.0746,0.255673,0.257601,0.204,0.204,0.051673,0.05360100000000004
-69,72,87.0962,0.2714,0.272745,0.216,0.216,0.05539999999999998,0.05674500000000002
-74,77,86.0693,0.291058,0.291675,0.228,0.228,0.06305799999999998,0.06367500000000001
-78,81,85.4524,0.306785,0.306819,0.24,0.24,0.06678499999999998,0.06681900000000002
-82,86,84.5298,0.322549,0.325801,0.252,0.252,0.07054899999999997,0.073801
-86,90,84.0177,0.338276,0.340944,0.264,0.264,0.07427600000000001,0.07694400000000001
-88,92,83.3011,0.346139,0.348516,0.276,0.276,0.07013899999999995,0.07251599999999997
-90,94,83.0852,0.354003,0.356088,0.288,0.288,0.06600300000000003,0.06808800000000004
-91,95,82.7377,0.357935,0.359874,0.3,0.3,0.057935000000000014,0.05987400000000004
-92,96,82.7802,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.7604,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.4645,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,96,82.4189,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,96,82.6612,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.3742,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,95,82.5744,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.7962,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.7514,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,95,82.5455,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.8293,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.8649,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.8031,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,96,82.5515,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.9159,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.6952,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,95,82.342,0.361829,0.359822,0.3,0.3,0.06182900000000002,0.059821999999999986
-92,96,82.7616,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
-92,96,82.5178,0.361866,0.36366,0.3,0.3,0.06186600000000003,0.06366
