Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
-77,79,93.8467,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.5772,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,93.6528,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.2361,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,93.4515,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,93.7897,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.4807,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.0992,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,93.5961,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.2635,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.8145,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
